"No.","Time","Source","Destination","Protocol","Length","Info"
"81257","498.917572","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"81325","499.084094","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"82513","529.599407","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"82514","529.599516","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"82653","544.085452","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"82654","544.101942","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"85512","574.599392","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"85513","574.599494","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"85824","589.120037","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"85825","589.136307","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"87305","619.597333","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"87306","619.597486","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
"87562","634.138703","192.168.3.103","34.49.233.224","TCP","55","[TCP Keep-Alive] 54396  >  443 [ACK] Seq=2503 Ack=6828 Win=130048 Len=1"
"87564","634.156313","34.49.233.224","192.168.3.103","TCP","66","[TCP Keep-Alive ACK] 443  >  54396 [ACK] Seq=6828 Ack=2504 Win=267776 Len=0 SLE=2503 SRE=2504"
"93878","664.596496","34.49.233.224","192.168.3.103","TCP","54","[TCP Keep-Alive] 443  >  54396 [ACK] Seq=6827 Ack=2504 Win=267776 Len=0"
"93879","664.596624","192.168.3.103","34.49.233.224","TCP","54","[TCP Keep-Alive ACK] 54396  >  443 [ACK] Seq=2504 Ack=6828 Win=130048 Len=0"
